id,contig,start,end,strand,function_num
WP_001040568.1,NC_002745.2,590790,591974,+,6
WP_000887920.1,NC_002745.2,592256,593431,-,6
WP_000250823.1,NC_002745.2,593602,594789,+,11
WP_000076404.1,NC_002745.2,595059,595937,+,11
WP_000122354.1,NC_002745.2,596096,597733,+,11
WP_000723301.1,NC_002745.2,597947,598912,+,11
WP_000076036.1,NC_002745.2,599248,600324,+,11
WP_000454780.1,NC_002745.2,600574,601257,+,11
WP_001067261.1,NC_002745.2,601373,602035,-,11
WP_001039516.1,NC_002745.2,602028,602645,-,11
WP_000180281.1,NC_002745.2,602712,603182,+,4
WP_000593361.1,NC_002745.2,603329,604198,+,11
WP_000677261.1,NC_002745.2,604220,604786,+,11
WP_001060462.1,NC_002745.2,605215,608076,+,2
WP_000934467.1,NC_002745.2,608443,612600,+,2
WP_000610259.1,NC_002745.2,612994,616419,+,11
WP_001106740.1,NC_002745.2,616540,618012,+,4
WP_001106104.1,NC_002745.2,618137,619627,-,11
WP_000134236.1,NC_002745.2,619909,620787,-,11
WP_000129068.1,NC_002745.2,620800,621465,-,11
WP_001557152.1,NC_002745.2,621479,621841,-,11
WP_000866415.1,NC_002745.2,622117,622875,+,11
WP_000422861.1,NC_002745.2,622952,623584,+,11
WP_001051594.1,NC_002745.2,623586,624134,+,11
WP_000667095.1,NC_002745.2,624247,624894,+,11
WP_000347061.1,NC_002745.2,625396,626796,+,8
WP_001100835.1,NC_002745.2,627340,628716,+,11
WP_001070676.1,NC_002745.2,628718,629857,+,11
WP_001165058.1,NC_002745.2,629832,630197,+,11
WP_000671099.1,NC_002745.2,630200,630469,+,9
WP_000587958.1,NC_002745.2,630670,630837,-,9
WP_001185462.1,NC_002745.2,631344,632174,-,11
WP_000455256.1,NC_002745.2,632358,633014,+,11
WP_000248117.1,NC_002745.2,633015,633395,+,11
WP_000765183.1,NC_002745.2,633528,633896,+,11
WP_000412514.1,NC_002745.2,634017,635501,+,8
WP_000498572.1,NC_002745.2,635642,636094,-,8
WP_000354088.1,NC_002745.2,636107,636871,-,11
WP_000075704.1,NC_002745.2,637420,638172,-,11
WP_000774281.1,NC_002745.2,638340,639326,+,11
WP_000362356.1,NC_002745.2,639329,640165,+,11
WP_000197034.1,NC_002745.2,640752,641672,+,11
WP_000597327.1,NC_002745.2,641677,642660,+,11
WP_000616885.1,NC_002745.2,642673,643749,+,4
WP_000798967.1,NC_002745.2,643926,644267,+,11
WP_000860592.1,NC_002745.2,644319,645641,-,4
WP_001047238.1,NC_002745.2,645628,646068,-,11
WP_001788276.1,NC_002745.2,646126,646227,+,9
WP_000020814.1,NC_002745.2,646693,648087,+,11
WP_072416008.1,NC_002745.2,648088,648723,+,9
WP_000882087.1,NC_002745.2,648770,649390,+,8
WP_000226989.1,NC_002745.2,649530,650162,+,8
WP_000808888.1,NC_002745.2,650610,651548,+,11
WP_000633782.1,NC_002745.2,651994,652530,+,11
WP_000477505.1,NC_002745.2,652698,653174,+,11
WP_000180234.1,NC_002745.2,653214,654509,+,11
WP_001792725.1,NC_002745.2,654537,655058,+,11
WP_001200747.1,NC_002745.2,655557,656567,+,11
WP_000359086.1,NC_002745.2,656843,657259,+,11
WP_001021144.1,NC_002745.2,657256,658917,+,11
WP_000901751.1,NC_002745.2,659187,659822,+,11
WP_010922824.1,NC_002745.2,661110,662060,+,8
WP_000365354.1,NC_002745.2,662115,662834,+,11
WP_000362976.1,NC_002745.2,662818,663618,+,11
WP_000735558.1,NC_002745.2,663754,664260,+,11
WP_001222133.1,NC_002745.2,664422,665138,+,9
WP_001045423.1,NC_002745.2,665307,666095,+,11
WP_001018677.1,NC_002745.2,666347,666721,-,11
WP_001557159.1,NC_002745.2,667669,668598,-,8
WP_000169042.1,NC_002745.2,668793,669017,-,9
WP_000036086.1,NC_002745.2,669034,669237,-,9
WP_001044915.1,NC_002745.2,669396,669956,+,7
WP_000060771.1,NC_002745.2,669975,672377,+,8
WP_000661906.1,NC_002745.2,672364,672789,+,11
WP_001048985.1,NC_002745.2,672786,673130,+,11
WP_000950546.1,NC_002745.2,673120,674616,+,8
WP_001071971.1,NC_002745.2,674617,675099,+,9
WP_000616642.1,NC_002745.2,675096,675398,+,11
WP_000406612.1,NC_002745.2,675373,675810,+,1
WP_000402171.1,NC_002745.2,676150,678192,+,11
WP_001557163.1,NC_002745.2,678300,679619,-,10
WP_000737654.1,NC_002745.2,680739,681668,-,11
WP_000889252.1,NC_002745.2,681665,682501,-,8
WP_000894464.1,NC_002745.2,682495,683238,-,9
WP_000954654.1,NC_002745.2,683360,684004,+,11
WP_001108547.1,NC_002745.2,684084,684836,-,8
WP_000215388.1,NC_002745.2,685072,685836,+,11
WP_001103231.1,NC_002745.2,685897,686691,-,11
WP_001273060.1,NC_002745.2,687038,687850,+,6
WP_001101602.1,NC_002745.2,687949,689052,+,11
WP_001241182.1,NC_002745.2,689049,690110,+,11
WP_000832260.1,NC_002745.2,690173,690571,+,11
WP_000793067.1,NC_002745.2,690688,691983,-,11
WP_000817954.1,NC_002745.2,692404,694131,+,8
WP_000479279.1,NC_002745.2,694488,695717,+,8
WP_001788321.1,NC_002745.2,695972,696064,+,9
WP_001044662.1,NC_002745.2,696242,697075,+,8
WP_001080809.1,NC_002745.2,697357,698154,+,6
WP_000184741.1,NC_002745.2,698190,699194,+,11
WP_000625878.1,NC_002745.2,699191,700207,+,8
WP_000976269.1,NC_002745.2,700441,701409,+,6
WP_000867201.1,NC_002745.2,701451,702035,+,11
WP_001124167.1,NC_002745.2,702028,702390,+,11
WP_001164085.1,NC_002745.2,702506,703003,+,6
WP_000980137.1,NC_002745.2,703460,704527,+,8
WP_001030772.1,NC_002745.2,704678,705721,+,11
WP_000198504.1,NC_002745.2,706050,706478,+,11
WP_000940129.1,NC_002745.2,706687,707193,-,11
WP_000802955.1,NC_002745.2,707306,708229,+,11
WP_001166500.1,NC_002745.2,708245,708919,+,11
WP_001061264.1,NC_002745.2,708912,709952,+,11
WP_000985996.1,NC_002745.2,710096,710857,+,11
WP_000143615.1,NC_002745.2,710847,712736,+,8
WP_000491755.1,NC_002745.2,713459,714076,+,9
WP_000120368.1,NC_002745.2,714092,715099,+,11
WP_000731644.1,NC_002745.2,715687,716484,-,2
WP_000081602.1,NC_002745.2,716845,717489,+,8
WP_001129749.1,NC_002745.2,718186,720336,+,9
WP_001090985.1,NC_002745.2,720482,720841,+,11
WP_000532966.1,NC_002745.2,721031,721747,+,11
WP_000833486.1,NC_002745.2,721747,722220,+,11
WP_001789973.1,NC_002745.2,722312,722428,+,9
WP_000865624.1,NC_002745.2,722573,723217,+,11
WP_000687412.1,NC_002745.2,723333,724199,+,11
WP_000367062.1,NC_002745.2,724331,725551,+,8
WP_000152582.1,NC_002745.2,725548,726036,+,8
WP_000842860.1,NC_002745.2,726135,726824,-,9
WP_001259672.1,NC_002745.2,726951,727394,+,11
WP_000733432.1,NC_002745.2,727461,727856,+,11
WP_000545115.1,NC_002745.2,727994,728293,+,11
WP_000638613.1,NC_002745.2,728373,728915,+,11
WP_000820897.1,NC_002745.2,729011,729577,-,11
WP_000148826.1,NC_002745.2,729579,730037,-,6
WP_000358498.1,NC_002745.2,730040,730723,-,11
WP_000469894.1,NC_002745.2,730895,731770,-,8
WP_000737162.1,NC_002745.2,731989,733620,+,8
WP_000857598.1,NC_002745.2,733617,735290,+,11
WP_001283444.1,NC_002745.2,735417,735860,-,11
WP_000794419.1,NC_002745.2,736087,737013,+,11
WP_000435109.1,NC_002745.2,737116,738024,+,11
WP_000180416.1,NC_002745.2,738059,738346,+,8
WP_001288051.1,NC_002745.2,738629,740182,+,8
WP_000952038.1,NC_002745.2,740268,741641,+,11
WP_000154465.1,NC_002745.2,741796,742080,-,11
WP_001191874.1,NC_002745.2,742077,742694,-,11
WP_000776018.1,NC_002745.2,742880,743302,-,11
WP_001041274.1,NC_002745.2,743511,744677,+,8
WP_000216725.1,NC_002745.2,744970,745422,+,1
WP_001107235.1,NC_002745.2,745596,746078,+,11
WP_001557168.1,NC_002745.2,746328,747092,+,11
WP_000640737.1,NC_002745.2,747089,748009,+,2
WP_001266553.1,NC_002745.2,748015,749973,+,11
WP_001292242.1,NC_002745.2,750281,751462,+,11
WP_000450257.1,NC_002745.2,751683,753032,+,11
WP_000931238.1,NC_002745.2,753254,754093,+,11
WP_000702778.1,NC_002745.2,754225,755208,+,11
WP_000244415.1,NC_002745.2,755280,756335,-,9
WP_000149344.1,NC_002745.2,756335,757021,-,11
WP_001037807.1,NC_002745.2,756996,757469,-,11
WP_001093562.1,NC_002745.2,757812,758252,-,11
WP_000604990.1,NC_002745.2,758532,759116,-,9
WP_001062972.1,NC_002745.2,759215,759928,-,11
WP_000941336.1,NC_002745.2,759932,760351,-,11
WP_000446724.1,NC_002745.2,760353,761021,-,11
WP_000604514.1,NC_002745.2,761372,761965,+,11
WP_001217791.1,NC_002745.2,761949,763100,+,11
WP_001175781.1,NC_002745.2,763100,763708,+,11
WP_001797134.1,NC_002745.2,763774,763980,+,8
WP_000708690.1,NC_002745.2,764068,764778,+,11
WP_000022323.1,NC_002745.2,764762,765766,+,11
WP_000098285.1,NC_002745.2,766240,768180,+,11
WP_000525106.1,NC_002745.2,768450,770333,+,11
WP_000983677.1,NC_002745.2,770345,772126,+,4
WP_000589248.1,NC_002745.2,772348,773325,+,11
WP_000180991.1,NC_002745.2,773318,774832,+,11
WP_000663030.1,NC_002745.2,775072,776130,+,11
WP_000197262.1,NC_002745.2,776469,777011,+,11
WP_000429006.1,NC_002745.2,777890,778807,-,11
WP_031760357.1,NC_002745.2,778898,778999,+,9
WP_000193751.1,NC_002745.2,779077,780582,-,11
WP_001788366.1,NC_002745.2,780648,780893,-,11
WP_000930014.1,NC_002745.2,780923,781423,-,11
WP_001068501.1,NC_002745.2,781443,782309,-,8
WP_000692521.1,NC_002745.2,783110,783508,+,6
WP_000855514.1,NC_002745.2,783471,785576,+,11
WP_000562498.1,NC_002745.2,785694,786665,+,11
WP_000499195.1,NC_002745.2,786846,787001,+,9
WP_000876318.1,NC_002745.2,787040,788011,+,8
WP_001245577.1,NC_002745.2,787998,788954,+,8
WP_000616840.1,NC_002745.2,788951,789712,+,11
WP_000754443.1,NC_002745.2,789831,790859,+,11
WP_001127269.1,NC_002745.2,791176,791490,-,11
WP_000608433.1,NC_002745.2,791508,792431,-,11
WP_000287207.1,NC_002745.2,792558,793076,-,11
WP_000724887.1,NC_002745.2,793196,794074,+,4
WP_000985617.1,NC_002745.2,794228,794548,+,9
WP_000866737.1,NC_002745.2,794972,796096,+,11
WP_000795811.1,NC_002745.2,796283,797509,-,11
WP_000899890.1,NC_002745.2,797523,798017,-,8
WP_001113406.1,NC_002745.2,798035,798796,-,11
WP_000460983.1,NC_002745.2,798992,800062,-,8
WP_000258150.1,NC_002745.2,800380,801435,+,8
WP_000192949.1,NC_002745.2,801600,802241,-,11
WP_000686344.1,NC_002745.2,802385,803251,+,11
WP_001557172.1,NC_002745.2,803615,804697,+,11
WP_001057965.1,NC_002745.2,804690,805364,+,4
WP_000617735.1,NC_002745.2,805425,805997,+,11
WP_000506531.1,NC_002745.2,806411,808942,+,4
WP_001790092.1,NC_002745.2,808984,809088,+,11
WP_010956549.1,NC_002745.2,809257,809328,+,11
WP_010956549.1,NC_002745.2,809330,810367,+,11
WP_001792175.1,NC_002745.2,810521,810628,+,9
WP_000753319.1,NC_002745.2,810776,811615,+,11
WP_000538141.1,NC_002745.2,811789,812439,+,11
WP_000638419.1,NC_002745.2,812436,812672,+,8
WP_000229241.1,NC_002745.2,812941,814926,+,4
WP_000662676.1,NC_002745.2,814934,817780,+,4
WP_000958224.1,NC_002745.2,818444,819376,+,11
WP_000513305.1,NC_002745.2,819382,820221,+,8
WP_001224793.1,NC_002745.2,820229,820714,+,11
WP_000057543.1,NC_002745.2,820722,822161,+,11
WP_000134963.1,NC_002745.2,822228,823163,+,11
WP_000369722.1,NC_002745.2,824108,825019,+,4
WP_001248939.1,NC_002745.2,825016,826011,+,11
WP_000006551.1,NC_002745.2,826122,827066,+,7
WP_001049165.1,NC_002745.2,827630,828217,+,5
WP_000816304.1,NC_002745.2,828460,829362,-,11
WP_000070831.1,NC_002745.2,830065,830694,+,11
WP_000654030.1,NC_002745.2,831619,832632,+,11
WP_000279414.1,NC_002745.2,832685,833695,+,11
WP_001074749.1,NC_002745.2,833834,835024,+,11
WP_001260089.1,NC_002745.2,835146,835907,+,11
WP_001085507.1,NC_002745.2,835910,837427,+,11
WP_001121760.1,NC_002745.2,837557,838861,+,5
WP_000785252.1,NC_002745.2,839200,839658,+,8
WP_000556760.1,NC_002745.2,839725,839958,+,8
WP_001165959.1,NC_002745.2,840074,840814,+,11
WP_001050048.1,NC_002745.2,840848,843220,+,4
WP_001085183.1,NC_002745.2,843242,843706,+,11
WP_001058299.1,NC_002745.2,845028,845351,-,11
WP_001057759.1,NC_002745.2,845367,845513,-,11
WP_000757397.1,NC_002745.2,845705,846433,-,11
WP_001790158.1,NC_002745.2,846868,847023,+,9
WP_000608192.1,NC_002745.2,847031,847552,+,11
WP_001167158.1,NC_002745.2,847691,848221,+,11
WP_001056195.1,NC_002745.2,848484,851453,+,11
WP_000791702.1,NC_002745.2,851674,853176,+,11
WP_000728068.1,NC_002745.2,853529,854551,+,11
WP_000824482.1,NC_002745.2,854886,855407,+,11
WP_000141557.1,NC_002745.2,855748,856434,+,11
WP_001059082.1,NC_002745.2,856791,856991,+,6
WP_000005886.1,NC_002745.2,857483,857701,-,9
WP_001004399.1,NC_002745.2,857763,858047,-,11
WP_001106654.1,NC_002745.2,858135,858704,-,11
WP_000052076.1,NC_002745.2,858892,859080,-,8
WP_001059690.1,NC_002745.2,859109,859369,-,8
WP_000145163.1,NC_002745.2,859710,859913,+,11
WP_000349581.1,NC_002745.2,859910,860146,-,11
WP_001140693.1,NC_002745.2,860371,860952,+,11
WP_000255551.1,NC_002745.2,861025,861642,-,8
WP_000569884.1,NC_002745.2,861797,862291,-,6
WP_000974460.1,NC_002745.2,862690,863112,-,11
WP_000150011.1,NC_002745.2,863260,863976,+,11
WP_000422908.1,NC_002745.2,864059,864598,+,11
WP_001147952.1,NC_002745.2,864749,865069,-,11
WP_000589549.1,NC_002745.2,865213,865569,+,11
WP_000290491.1,NC_002745.2,865727,866107,+,11
WP_000868132.1,NC_002745.2,867008,868093,+,10
WP_001557544.1,NC_002745.2,868090,869982,+,4
WP_000361059.1,NC_002745.2,869989,870366,+,7
WP_000067268.1,NC_002745.2,870517,871299,+,11
WP_001072201.1,NC_002745.2,871425,872156,-,11
WP_010959190.1,NC_002745.2,872239,872298,-,9
WP_001092058.1,NC_002745.2,872690,873352,+,6
WP_001018962.1,NC_002745.2,874673,875059,+,11
WP_001065801.1,NC_002745.2,875052,875348,+,11
WP_000571207.1,NC_002745.2,875598,876623,+,8
WP_000520231.1,NC_002745.2,876616,877311,+,8
WP_000732324.1,NC_002745.2,877329,878150,+,11
WP_000752917.1,NC_002745.2,878504,878698,+,11
WP_001183854.1,NC_002745.2,878932,879783,-,8
WP_000168845.1,NC_002745.2,880111,880872,+,11
WP_000205567.1,NC_002745.2,880970,882277,+,11
WP_001006450.1,NC_002745.2,882383,883633,+,11
WP_001010508.1,NC_002745.2,883623,884087,+,11
WP_001074405.1,NC_002745.2,884238,885635,+,11
WP_000274029.1,NC_002745.2,885967,886281,-,8
WP_000582326.1,NC_002745.2,886646,887686,+,11
WP_000267236.1,NC_002745.2,887700,888767,+,11
WP_000608129.1,NC_002745.2,889152,890000,+,6
WP_000927632.1,NC_002745.2,890013,890840,+,8
WP_001241246.1,NC_002745.2,890867,892186,+,4
WP_000201875.1,NC_002745.2,892270,893187,+,10
WP_000598444.1,NC_002745.2,893317,893700,+,11
WP_001557163.1,NC_002745.2,893906,895225,+,10
WP_000566649.1,NC_002745.2,895299,895565,-,11
WP_000273982.1,NC_002745.2,895663,896097,+,11
WP_000816184.1,NC_002745.2,896097,896876,+,11
WP_000239131.1,NC_002745.2,896909,897868,+,11
WP_001790652.1,NC_002745.2,898122,898232,+,9
WP_000837752.1,NC_002745.2,898280,898432,+,9
WP_000129659.1,NC_002745.2,898448,899905,+,11
WP_000613541.1,NC_002745.2,899902,901116,+,8
WP_000395692.1,NC_002745.2,901134,901370,+,9
WP_000769415.1,NC_002745.2,901367,902542,+,11
WP_001141883.1,NC_002745.2,902805,903047,-,9
WP_000401414.1,NC_002745.2,903148,903471,+,11
WP_000794020.1,NC_002745.2,903530,904594,-,11
WP_001068337.1,NC_002745.2,904911,905147,+,11
WP_001143495.1,NC_002745.2,905160,905519,+,11
WP_000046076.1,NC_002745.2,905973,907181,+,11
WP_001009692.1,NC_002745.2,907312,908787,+,11
WP_000606324.1,NC_002745.2,909198,910514,+,8
WP_000149295.1,NC_002745.2,910533,910907,+,11
WP_000558755.1,NC_002745.2,910963,912117,-,11
WP_000590451.1,NC_002745.2,912366,912722,-,1
WP_001016306.1,NC_002745.2,912700,912993,-,1
WP_000290674.1,NC_002745.2,912993,913472,-,8
WP_000573077.1,NC_002745.2,913474,914970,-,8
WP_000402803.1,NC_002745.2,914963,915304,-,11
WP_001081626.1,NC_002745.2,915304,915732,-,8
WP_000054612.1,NC_002745.2,915725,918130,-,8
WP_000781162.1,NC_002745.2,918261,918644,-,11
WP_000035058.1,NC_002745.2,918708,919301,+,11
WP_001067294.1,NC_002745.2,919716,920093,+,11
WP_000838029.1,NC_002745.2,920455,921582,+,11
WP_000167314.1,NC_002745.2,921890,923080,+,11
WP_000138487.1,NC_002745.2,923189,924433,+,11
WP_000185319.1,NC_002745.2,924770,925699,-,11
WP_000066053.1,NC_002745.2,925941,927320,-,11
WP_000660045.1,NC_002745.2,927310,928515,-,11
WP_000148852.1,NC_002745.2,928866,930197,+,11
WP_000007967.1,NC_002745.2,930522,931097,+,8
WP_000758209.1,NC_002745.2,931102,931626,+,11
WP_000711896.1,NC_002745.2,931642,932217,+,11
WP_000172350.1,NC_002745.2,932377,935850,+,11
WP_000154921.1,NC_002745.2,935854,939507,+,11
WP_000670752.1,NC_002745.2,939673,940575,+,11
WP_000902805.1,NC_002745.2,940904,941293,+,1
WP_001124506.1,NC_002745.2,941465,942781,-,11
WP_001182436.1,NC_002745.2,942833,943657,-,11
WP_000390575.1,NC_002745.2,943771,944079,+,11
WP_001044230.1,NC_002745.2,944627,946441,+,11
WP_000353954.1,NC_002745.2,946644,949253,+,11
WP_001047069.1,NC_002745.2,949312,950181,-,9
WP_000619360.1,NC_002745.2,950291,951436,+,11
WP_000404422.1,NC_002745.2,951420,952061,+,11
WP_001037440.1,NC_002745.2,952054,953175,+,8
WP_000700882.1,NC_002745.2,953153,953668,+,9
WP_000769694.1,NC_002745.2,953979,954413,+,1
WP_000682089.1,NC_002745.2,954670,954855,-,11
WP_001100526.1,NC_002745.2,955150,956091,+,11
WP_000081231.1,NC_002745.2,956103,957347,+,11
WP_000915157.1,NC_002745.2,957402,957773,-,8
WP_000521533.1,NC_002745.2,958016,958942,+,8
WP_000829632.1,NC_002745.2,958942,960012,+,11
WP_000140050.1,NC_002745.2,960028,961110,+,11
WP_000786734.1,NC_002745.2,961100,962041,+,11
WP_000197018.1,NC_002745.2,962060,963715,+,11
WP_000517183.1,NC_002745.2,963927,965642,+,11
WP_001067052.1,NC_002745.2,965693,966679,+,11
WP_000427767.1,NC_002745.2,966682,967662,+,4
WP_000915997.1,NC_002745.2,967655,968617,+,11
WP_001180280.1,NC_002745.2,968629,969510,+,8
WP_000448934.1,NC_002745.2,969552,970541,-,11
WP_000258003.1,NC_002745.2,970835,971230,+,11
WP_001217728.1,NC_002745.2,971601,972320,+,11
WP_000959282.1,NC_002745.2,972441,973427,+,10
WP_000082725.1,NC_002745.2,973475,975283,+,11
WP_000896697.1,NC_002745.2,975743,976549,-,11
WP_000214070.1,NC_002745.2,976572,976937,-,11
WP_000224619.1,NC_002745.2,977041,977634,-,11
WP_001242103.1,NC_002745.2,977820,978167,+,11
WP_001077683.1,NC_002745.2,978184,978819,+,11
WP_001270834.1,NC_002745.2,978836,979645,+,11
WP_000669923.1,NC_002745.2,979642,980496,+,4
WP_000062407.1,NC_002745.2,980517,981902,+,11
WP_000395153.1,NC_002745.2,981912,983756,+,11
WP_000933195.1,NC_002745.2,984034,984804,+,11
WP_000933105.1,NC_002745.2,985001,986086,-,8
WP_000570687.1,NC_002745.2,986428,987996,+,11
WP_001288675.1,NC_002745.2,988141,988899,+,11
WP_000600387.1,NC_002745.2,989093,989602,+,11
WP_001154223.1,NC_002745.2,989715,990905,-,8
WP_000258645.1,NC_002745.2,990883,992058,-,11
WP_000340119.1,NC_002745.2,992491,993975,+,11
WP_000608862.1,NC_002745.2,993965,994216,+,11
WP_001049950.1,NC_002745.2,994216,995778,+,11
WP_000928413.1,NC_002745.2,996080,996883,+,8
WP_001795272.1,NC_002745.2,997102,999426,+,11
WP_000021865.1,NC_002745.2,999443,1000801,+,11
WP_000414165.1,NC_002745.2,1000940,1002451,+,11
WP_000287265.1,NC_002745.2,1002938,1003507,-,11
WP_000876826.1,NC_002745.2,1003717,1003935,+,9
WP_000668818.1,NC_002745.2,1004016,1005002,-,11
WP_000214898.1,NC_002745.2,1005201,1005377,+,9
WP_001033865.1,NC_002745.2,1005392,1005994,+,9
WP_228764722.1,NC_002745.2,1006309,1006371,+,9
WP_001792055.1,NC_002745.2,1006910,1007011,+,9
WP_001797239.1,NC_002745.2,1007021,1007293,+,11
WP_000870829.1,NC_002745.2,1007337,1009301,+,9
WP_000668627.1,NC_002745.2,1009304,1009624,+,11
WP_000571167.1,NC_002745.2,1009621,1010262,+,11
WP_001795266.1,NC_002745.2,1010350,1010640,-,8
WP_001792054.1,NC_002745.2,1010781,1010918,+,9
WP_000766009.1,NC_002745.2,1011007,1011363,-,11
WP_001081351.1,NC_002745.2,1011851,1012810,+,11
WP_001790177.1,NC_002745.2,1012856,1012987,-,9
WP_000867357.1,NC_002745.2,1013051,1013266,-,8
WP_000620949.1,NC_002745.2,1013431,1013982,+,11
WP_000070966.1,NC_002745.2,1014034,1014972,-,8
WP_001791731.1,NC_002745.2,1015123,1015227,+,6
WP_223197981.1,NC_002745.2,1015193,1016515,+,9
WP_000526694.1,NC_002745.2,1016502,1018175,+,11
WP_000150197.1,NC_002745.2,1018162,1018965,+,11
WP_000184945.1,NC_002745.2,1018958,1019779,+,11
WP_000284458.1,NC_002745.2,1020017,1020346,-,11
WP_001089094.1,NC_002745.2,1020384,1021565,-,11
WP_000676539.1,NC_002745.2,1021647,1022675,-,11
WP_000777577.1,NC_002745.2,1023203,1024357,-,11
WP_000202433.1,NC_002745.2,1024553,1025563,-,9
WP_000278015.1,NC_002745.2,1025716,1026135,+,7
WP_001788579.1,NC_002745.2,1026162,1026272,+,9
WP_001074534.1,NC_002745.2,1026342,1030088,-,1
WP_000491986.1,NC_002745.2,1030316,1030750,-,11
WP_000088431.1,NC_002745.2,1030905,1031375,-,11
WP_001031978.1,NC_002745.2,1031423,1032640,-,11
WP_000671245.1,NC_002745.2,1033091,1034284,+,4
WP_001797236.1,NC_002745.2,1034821,1035099,-,8
WP_000017736.1,NC_002745.2,1035108,1035713,-,8
WP_001010762.1,NC_002745.2,1035703,1037691,-,8
WP_000032836.1,NC_002745.2,1037691,1038791,-,11
WP_031761471.1,NC_002745.2,1039096,1039221,+,9
WP_001037831.1,NC_002745.2,1039362,1039679,-,11
WP_000225836.1,NC_002745.2,1040543,1041403,-,11
WP_000861572.1,NC_002745.2,1041604,1042086,+,11
WP_001010413.1,NC_002745.2,1042073,1043197,+,4
WP_000174053.1,NC_002745.2,1043201,1043905,+,11
WP_000848350.1,NC_002745.2,1043905,1044168,+,9
WP_000666806.1,NC_002745.2,1044170,1044841,+,11
WP_000032740.1,NC_002745.2,1044834,1047023,+,11
WP_000483720.1,NC_002745.2,1047002,1048486,+,11
WP_000030811.1,NC_002745.2,1048479,1049507,+,11
WP_000238669.1,NC_002745.2,1049510,1050076,+,6
WP_000709277.1,NC_002745.2,1050091,1051569,+,11
WP_001101899.1,NC_002745.2,1051591,1052838,+,11
WP_000273253.1,NC_002745.2,1053106,1053912,-,9
WP_000921965.1,NC_002745.2,1053905,1055305,-,4
WP_000033477.1,NC_002745.2,1055320,1055895,-,11
WP_000064214.1,NC_002745.2,1056731,1056865,-,5
WP_000009069.1,NC_002745.2,1057017,1058312,+,8
WP_000685067.1,NC_002745.2,1058737,1059909,+,11
WP_000505966.1,NC_002745.2,1059963,1060505,+,11
WP_000437472.1,NC_002745.2,1060659,1060925,+,11
WP_000040051.1,NC_002745.2,1060928,1062646,+,11
WP_001289618.1,NC_002745.2,1062883,1063116,-,11
WP_000381849.1,NC_002745.2,1063314,1064675,+,11
WP_000638459.1,NC_002745.2,1064672,1065691,+,8
WP_000514290.1,NC_002745.2,1065824,1066486,+,6
WP_000811375.1,NC_002745.2,1066732,1068429,-,11
WP_000257888.1,NC_002745.2,1068429,1068647,-,9
WP_001792047.1,NC_002745.2,1068676,1068798,-,9
WP_000957037.1,NC_002745.2,1069129,1069680,-,11
WP_000668336.1,NC_002745.2,1070045,1070671,+,11
WP_000035320.1,NC_002745.2,1070842,1071954,+,11
WP_000068176.1,NC_002745.2,1071958,1072935,+,11
WP_000863439.1,NC_002745.2,1073026,1074318,+,5
WP_000260117.1,NC_002745.2,1074322,1075728,+,11
WP_000455597.1,NC_002745.2,1075896,1076171,+,11
WP_001020625.1,NC_002745.2,1076315,1076854,+,11
WP_000433551.1,NC_002745.2,1076867,1077961,+,11
WP_001246555.1,NC_002745.2,1077954,1078751,+,8
WP_000872390.1,NC_002745.2,1078757,1079566,+,8
WP_000819684.1,NC_002745.2,1079566,1080639,+,4
WP_000145499.1,NC_002745.2,1080713,1081732,+,8
WP_001080466.1,NC_002745.2,1082015,1082434,+,1
WP_001060842.1,NC_002745.2,1082513,1083865,-,11
WP_000170596.1,NC_002745.2,1084049,1084663,-,4
WP_001240318.1,NC_002745.2,1084820,1085647,+,11
WP_000810620.1,NC_002745.2,1085801,1085992,-,8
WP_000182654.1,NC_002745.2,1086094,1087941,+,11
WP_001250275.1,NC_002745.2,1088081,1088248,-,11
WP_000614712.1,NC_002745.2,1088250,1088732,-,11
WP_001118417.1,NC_002745.2,1088873,1089148,+,11
WP_000787940.1,NC_002745.2,1089462,1090688,+,8
WP_000809514.1,NC_002745.2,1091242,1094694,+,11
WP_000467123.1,NC_002745.2,1094834,1095745,-,8
WP_000031401.1,NC_002745.2,1096185,1097096,+,8
WP_000538766.1,NC_002745.2,1097121,1097582,+,8
WP_000733409.1,NC_002745.2,1097909,1098946,+,11
WP_000606480.1,NC_002745.2,1098962,1099396,+,6
WP_000757575.1,NC_002745.2,1099459,1100385,-,11
WP_001049150.1,NC_002745.2,1100624,1100878,+,11
WP_000814565.1,NC_002745.2,1100881,1101270,-,11
WP_001263796.1,NC_002745.2,1101340,1101882,+,6
WP_000401377.1,NC_002745.2,1101884,1102366,+,11
WP_000843611.1,NC_002745.2,1102428,1103567,-,11
WP_000872158.1,NC_002745.2,1103694,1104251,+,11
WP_000290472.1,NC_002745.2,1104331,1104504,+,9
WP_001041583.1,NC_002745.2,1104658,1106595,-,11
WP_000160859.1,NC_002745.2,1106798,1107850,-,11
WP_000789821.1,NC_002745.2,1108059,1108742,+,11
WP_001246685.1,NC_002745.2,1108742,1109818,+,11
WP_001220199.1,NC_002745.2,1109815,1110693,+,4
WP_000594530.1,NC_002745.2,1110706,1111671,+,11
WP_001242427.1,NC_002745.2,1111733,1112467,+,11
WP_000670950.1,NC_002745.2,1112486,1112809,+,11
WP_001788617.1,NC_002745.2,1112846,1112953,+,9
WP_000435374.1,NC_002745.2,1113193,1113933,+,11
