PICI_ID_allsets,All_Functions
ESCO001.0321.00544.C001.PICI.TypeA,"['tyrosine-type recombinase/integrase  (translation)', 'AlpA family phage regulatory protein  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)', 'hypothetical protein  (translation)', 'phage major capsid protein  (translation)']"
ESCO001.0321.00553.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family phage regulatory protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'DNA primase phage-associated  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'AlpA family phage regulatory protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00563.C001.CFPICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00564.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00565.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00566.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00567.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00568.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00569.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00570.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00571.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00572.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00573.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00574.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00575.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00578.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00579.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00580.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00581.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00584.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00585.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00586.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00587.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00589.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00590.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00591.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00592.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00598.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00604.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family phage regulatory protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'DNA primase phage-associated  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'AlpA family phage regulatory protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00611.C001.PICI.TypeA,"['tyrosine-type recombinase/integrase  (translation)', 'AlpA family phage regulatory protein  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'DNA primase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00615.C001.PICI.TypeB.variant0002,"['site-specific integrase  (translation)', 'AlpA family phage regulatory protein  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'DNA primase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'hypothetical protein  (translation)', 'Clp protease ClpP  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00616.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00639.C001.PICI.TypeB.variant0002,"['tyrosine-type recombinase/integrase  (translation)', 'hypothetical protein  (translation)', 'AlpA family phage regulatory protein  (translation)', 'hypothetical protein  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'hypothetical protein  (translation)', 'Clp protease ClpP  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00641.C001.PICI.TypeB.variant0002,"['tyrosine-type recombinase/integrase  (translation)', 'hypothetical protein  (translation)', 'AlpA family phage regulatory protein  (translation)', 'hypothetical protein  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'hypothetical protein  (translation)', 'Clp protease ClpP  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00642.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', '18 : Unknown function hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00643.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00647.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family phage regulatory protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'DNA primase phage-associated  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'AlpA family phage regulatory protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00650.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00651.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00652.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00653.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)', 'site-specific integrase  (translation)', 'hypothetical protein  (translation)', 'AlpA family phage regulatory protein  (translation)', 'hypothetical protein  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'DNA primase  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)', 'hypothetical protein  (translation)', 'phage major capsid protein  (translation)']"
ESCO001.0321.00655.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family phage regulatory protein  (translation)', 'hypothetical protein  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'DNA primase  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)', 'hypothetical protein  (translation)', 'phage major capsid protein  (translation)', 'site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
ESCO001.0321.00656.C001.PICI.TypeA,"['site-specific integrase  (translation)', 'AlpA family transcriptional regulator  (translation)', 'host cell division inhibitor Icd-like protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF4222 domain-containing protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'PerC family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'major capsid protein  (translation)', 'head decoration protein  (translation)', 'hypothetical protein  (translation)', 'terminase small subunit  (translation)']"
