Description	Count	contig
lysis	0	ESCO001.0321.00655.C001.PICI.TypeA.Set2
moron, auxiliary metabolic gene and host takeover	0	ESCO001.0321.00655.C001.PICI.TypeA.Set2
other	0	ESCO001.0321.00655.C001.PICI.TypeA.Set2
tail	0	ESCO001.0321.00655.C001.PICI.TypeA.Set2
transcription regulation	1	ESCO001.0321.00655.C001.PICI.TypeA.Set2
unknown function	11	ESCO001.0321.00655.C001.PICI.TypeA.Set2
tRNAs	0	ESCO001.0321.00655.C001.PICI.TypeA.Set2
CRISPRs	0	ESCO001.0321.00655.C001.PICI.TypeA.Set2
tmRNAs	0	ESCO001.0321.00655.C001.PICI.TypeA.Set2
VFDB_Virulence_Factors	0	ESCO001.0321.00655.C001.PICI.TypeA.Set2
CARD_AMR_Genes	0	ESCO001.0321.00655.C001.PICI.TypeA.Set2
CDS	13	MYTU002.0321.00072.C001.PICI.TypeB.variant0003.Set1
connector	0	MYTU002.0321.00072.C001.PICI.TypeB.variant0003.Set1
DNA, RNA and nucleotide metabolism	0	MYTU002.0321.00072.C001.PICI.TypeB.variant0003.Set1
head and packaging	3	MYTU002.0321.00072.C001.PICI.TypeB.variant0003.Set1
integration and excision	2	MYTU002.0321.00072.C001.PICI.TypeB.variant0003.Set1
lysis	0	MYTU002.0321.00072.C001.PICI.TypeB.variant0003.Set1
moron, auxiliary metabolic gene and host takeover	0	MYTU002.0321.00072.C001.PICI.TypeB.variant0003.Set1
other	0	MYTU002.0321.00072.C001.PICI.TypeB.variant0003.Set1
tail	0	MYTU002.0321.00072.C001.PICI.TypeB.variant0003.Set1
transcription regulation	0	MYTU002.0321.00072.C001.PICI.TypeB.variant0003.Set1
unknown function	8	MYTU002.0321.00072.C001.PICI.TypeB.variant0003.Set1
tRNAs	0	MYTU002.0321.00072.C001.PICI.TypeB.variant0003.Set1
CRISPRs	0	MYTU002.0321.00072.C001.PICI.TypeB.variant0003.Set1
tmRNAs	0	MYTU002.0321.00072.C001.PICI.TypeB.variant0003.Set1
VFDB_Virulence_Factors	0	MYTU002.0321.00072.C001.PICI.TypeB.variant0003.Set1
CARD_AMR_Genes	0	MYTU002.0321.00072.C001.PICI.TypeB.variant0003.Set1
CDS	17	STLU004.0321.00005.C001.PICI.TypeB.variant0002.Set2
connector	0	STLU004.0321.00005.C001.PICI.TypeB.variant0002.Set2
DNA, RNA and nucleotide metabolism	3	STLU004.0321.00005.C001.PICI.TypeB.variant0002.Set2
head and packaging	1	STLU004.0321.00005.C001.PICI.TypeB.variant0002.Set2
integration and excision	1	STLU004.0321.00005.C001.PICI.TypeB.variant0002.Set2
lysis	0	STLU004.0321.00005.C001.PICI.TypeB.variant0002.Set2
moron, auxiliary metabolic gene and host takeover	0	STLU004.0321.00005.C001.PICI.TypeB.variant0002.Set2
other	0	STLU004.0321.00005.C001.PICI.TypeB.variant0002.Set2
tail	0	STLU004.0321.00005.C001.PICI.TypeB.variant0002.Set2
transcription regulation	2	STLU004.0321.00005.C001.PICI.TypeB.variant0002.Set2
unknown function	10	STLU004.0321.00005.C001.PICI.TypeB.variant0002.Set2
tRNAs	0	STLU004.0321.00005.C001.PICI.TypeB.variant0002.Set2
CRISPRs	0	STLU004.0321.00005.C001.PICI.TypeB.variant0002.Set2
tmRNAs	0	STLU004.0321.00005.C001.PICI.TypeB.variant0002.Set2
VFDB_Virulence_Factors	0	STLU004.0321.00005.C001.PICI.TypeB.variant0002.Set2
CARD_AMR_Genes	0	STLU004.0321.00005.C001.PICI.TypeB.variant0002.Set2
CDS	15	MAST001.0321.00001.C001.PICI.TypeB.variant0002.Set1
connector	0	MAST001.0321.00001.C001.PICI.TypeB.variant0002.Set1
DNA, RNA and nucleotide metabolism	2	MAST001.0321.00001.C001.PICI.TypeB.variant0002.Set1
head and packaging	1	MAST001.0321.00001.C001.PICI.TypeB.variant0002.Set1
integration and excision	1	MAST001.0321.00001.C001.PICI.TypeB.variant0002.Set1
lysis	0	MAST001.0321.00001.C001.PICI.TypeB.variant0002.Set1
moron, auxiliary metabolic gene and host takeover	0	MAST001.0321.00001.C001.PICI.TypeB.variant0002.Set1
other	0	MAST001.0321.00001.C001.PICI.TypeB.variant0002.Set1
tail	0	MAST001.0321.00001.C001.PICI.TypeB.variant0002.Set1
transcription regulation	2	MAST001.0321.00001.C001.PICI.TypeB.variant0002.Set1
unknown function	9	MAST001.0321.00001.C001.PICI.TypeB.variant0002.Set1
tRNAs	0	MAST001.0321.00001.C001.PICI.TypeB.variant0002.Set1
CRISPRs	0	MAST001.0321.00001.C001.PICI.TypeB.variant0002.Set1
tmRNAs	0	MAST001.0321.00001.C001.PICI.TypeB.variant0002.Set1
VFDB_Virulence_Factors	0	MAST001.0321.00001.C001.PICI.TypeB.variant0002.Set1
CARD_AMR_Genes	0	MAST001.0321.00001.C001.PICI.TypeB.variant0002.Set1
CDS	23	STAU002.0321.00398.C001.PICI.TypeB.variant0002.Set1
connector	0	STAU002.0321.00398.C001.PICI.TypeB.variant0002.Set1
DNA, RNA and nucleotide metabolism	3	STAU002.0321.00398.C001.PICI.TypeB.variant0002.Set1
head and packaging	2	STAU002.0321.00398.C001.PICI.TypeB.variant0002.Set1
integration and excision	1	STAU002.0321.00398.C001.PICI.TypeB.variant0002.Set1
lysis	0	STAU002.0321.00398.C001.PICI.TypeB.variant0002.Set1
moron, auxiliary metabolic gene and host takeover	0	STAU002.0321.00398.C001.PICI.TypeB.variant0002.Set1
other	0	STAU002.0321.00398.C001.PICI.TypeB.variant0002.Set1
tail	0	STAU002.0321.00398.C001.PICI.TypeB.variant0002.Set1
transcription regulation	1	STAU002.0321.00398.C001.PICI.TypeB.variant0002.Set1
unknown function	16	STAU002.0321.00398.C001.PICI.TypeB.variant0002.Set1
tRNAs	0	STAU002.0321.00398.C001.PICI.TypeB.variant0002.Set1
CRISPRs	0	STAU002.0321.00398.C001.PICI.TypeB.variant0002.Set1
tmRNAs	0	STAU002.0321.00398.C001.PICI.TypeB.variant0002.Set1
VFDB_Virulence_Factors	0	STAU002.0321.00398.C001.PICI.TypeB.variant0002.Set1
CARD_AMR_Genes	0	STAU002.0321.00398.C001.PICI.TypeB.variant0002.Set1
CDS	23	ESCO001.0321.01314.C001.PICI.TypeA.Set1
connector	0	ESCO001.0321.01314.C001.PICI.TypeA.Set1
DNA, RNA and nucleotide metabolism	1	ESCO001.0321.01314.C001.PICI.TypeA.Set1
head and packaging	3	ESCO001.0321.01314.C001.PICI.TypeA.Set1
integration and excision	1	ESCO001.0321.01314.C001.PICI.TypeA.Set1
lysis	0	ESCO001.0321.01314.C001.PICI.TypeA.Set1
moron, auxiliary metabolic gene and host takeover	0	ESCO001.0321.01314.C001.PICI.TypeA.Set1
other	0	ESCO001.0321.01314.C001.PICI.TypeA.Set1
tail	0	ESCO001.0321.01314.C001.PICI.TypeA.Set1
transcription regulation	1	ESCO001.0321.01314.C001.PICI.TypeA.Set1
unknown function	17	ESCO001.0321.01314.C001.PICI.TypeA.Set1
tRNAs	0	ESCO001.0321.01314.C001.PICI.TypeA.Set1
CRISPRs	0	ESCO001.0321.01314.C001.PICI.TypeA.Set1
tmRNAs	0	ESCO001.0321.01314.C001.PICI.TypeA.Set1
VFDB_Virulence_Factors	0	ESCO001.0321.01314.C001.PICI.TypeA.Set1
CARD_AMR_Genes	0	ESCO001.0321.01314.C001.PICI.TypeA.Set1
CDS	16	ESCO001.0321.00362.C001.PICI.TypeA.Set2
connector	0	ESCO001.0321.00362.C001.PICI.TypeA.Set2
DNA, RNA and nucleotide metabolism	0	ESCO001.0321.00362.C001.PICI.TypeA.Set2
head and packaging	3	ESCO001.0321.00362.C001.PICI.TypeA.Set2
integration and excision	2	ESCO001.0321.00362.C001.PICI.TypeA.Set2
lysis	0	ESCO001.0321.00362.C001.PICI.TypeA.Set2
moron, auxiliary metabolic gene and host takeover	0	ESCO001.0321.00362.C001.PICI.TypeA.Set2
other	0	ESCO001.0321.00362.C001.PICI.TypeA.Set2
tail	0	ESCO001.0321.00362.C001.PICI.TypeA.Set2
transcription regulation	0	ESCO001.0321.00362.C001.PICI.TypeA.Set2
unknown function	11	ESCO001.0321.00362.C001.PICI.TypeA.Set2
tRNAs	0	ESCO001.0321.00362.C001.PICI.TypeA.Set2
CRISPRs	0	ESCO001.0321.00362.C001.PICI.TypeA.Set2
tmRNAs	0	ESCO001.0321.00362.C001.PICI.TypeA.Set2
VFDB_Virulence_Factors	0	ESCO001.0321.00362.C001.PICI.TypeA.Set2
CARD_AMR_Genes	0	ESCO001.0321.00362.C001.PICI.TypeA.Set2
CDS	25	STAU002.0321.00550.C001.PICI.TypeB.variant0002.Set1
connector	0	STAU002.0321.00550.C001.PICI.TypeB.variant0002.Set1
DNA, RNA and nucleotide metabolism	3	STAU002.0321.00550.C001.PICI.TypeB.variant0002.Set1
head and packaging	2	STAU002.0321.00550.C001.PICI.TypeB.variant0002.Set1
integration and excision	1	STAU002.0321.00550.C001.PICI.TypeB.variant0002.Set1
lysis	0	STAU002.0321.00550.C001.PICI.TypeB.variant0002.Set1
moron, auxiliary metabolic gene and host takeover	0	STAU002.0321.00550.C001.PICI.TypeB.variant0002.Set1
other	0	STAU002.0321.00550.C001.PICI.TypeB.variant0002.Set1
tail	0	STAU002.0321.00550.C001.PICI.TypeB.variant0002.Set1
transcription regulation	2	STAU002.0321.00550.C001.PICI.TypeB.variant0002.Set1
unknown function	17	STAU002.0321.00550.C001.PICI.TypeB.variant0002.Set1
tRNAs	0	STAU002.0321.00550.C001.PICI.TypeB.variant0002.Set1
CRISPRs	0	STAU002.0321.00550.C001.PICI.TypeB.variant0002.Set1
tmRNAs	0	STAU002.0321.00550.C001.PICI.TypeB.variant0002.Set1
VFDB_Virulence_Factors	0	STAU002.0321.00550.C001.PICI.TypeB.variant0002.Set1
CARD_AMR_Genes	0	STAU002.0321.00550.C001.PICI.TypeB.variant0002.Set1
CDS	25	ESCO001.0321.00566.C001.PICI.TypeA.Set1
connector	0	ESCO001.0321.00566.C001.PICI.TypeA.Set1
DNA, RNA and nucleotide metabolism	1	ESCO001.0321.00566.C001.PICI.TypeA.Set1
head and packaging	3	ESCO001.0321.00566.C001.PICI.TypeA.Set1
integration and excision	1	ESCO001.0321.00566.C001.PICI.TypeA.Set1
lysis	0	ESCO001.0321.00566.C001.PICI.TypeA.Set1
moron, auxiliary metabolic gene and host takeover	0	ESCO001.0321.00566.C001.PICI.TypeA.Set1
other	0	ESCO001.0321.00566.C001.PICI.TypeA.Set1
tail	0	ESCO001.0321.00566.C001.PICI.TypeA.Set1
transcription regulation	1	ESCO001.0321.00566.C001.PICI.TypeA.Set1
unknown function	19	ESCO001.0321.00566.C001.PICI.TypeA.Set1
tRNAs	0	ESCO001.0321.00566.C001.PICI.TypeA.Set1
CRISPRs	0	ESCO001.0321.00566.C001.PICI.TypeA.Set1
tmRNAs	0	ESCO001.0321.00566.C001.PICI.TypeA.Set1
VFDB_Virulence_Factors	0	ESCO001.0321.00566.C001.PICI.TypeA.Set1
CARD_AMR_Genes	0	ESCO001.0321.00566.C001.PICI.TypeA.Set1
CDS	24	ESCO001.0321.01378.C001.PICI.TypeA.Set1
connector	0	ESCO001.0321.01378.C001.PICI.TypeA.Set1
DNA, RNA and nucleotide metabolism	1	ESCO001.0321.01378.C001.PICI.TypeA.Set1
head and packaging	3	ESCO001.0321.01378.C001.PICI.TypeA.Set1
integration and excision	1	ESCO001.0321.01378.C001.PICI.TypeA.Set1
lysis	0	ESCO001.0321.01378.C001.PICI.TypeA.Set1
moron, auxiliary metabolic gene and host takeover	0	ESCO001.0321.01378.C001.PICI.TypeA.Set1
other	0	ESCO001.0321.01378.C001.PICI.TypeA.Set1
tail	0	ESCO001.0321.01378.C001.PICI.TypeA.Set1
transcription regulation	1	ESCO001.0321.01378.C001.PICI.TypeA.Set1
unknown function	18	ESCO001.0321.01378.C001.PICI.TypeA.Set1
tRNAs	0	ESCO001.0321.01378.C001.PICI.TypeA.Set1
CRISPRs	0	ESCO001.0321.01378.C001.PICI.TypeA.Set1
tmRNAs	0	ESCO001.0321.01378.C001.PICI.TypeA.Set1
VFDB_Virulence_Factors	0	ESCO001.0321.01378.C001.PICI.TypeA.Set1
CARD_AMR_Genes	0	ESCO001.0321.01378.C001.PICI.TypeA.Set1
CDS	13	MYTU002.0321.00122.C001.PICI.TypeB.variant0003.Set2
connector	0	MYTU002.0321.00122.C001.PICI.TypeB.variant0003.Set2
DNA, RNA and nucleotide metabolism	0	MYTU002.0321.00122.C001.PICI.TypeB.variant0003.Set2
head and packaging	3	MYTU002.0321.00122.C001.PICI.TypeB.variant0003.Set2
integration and excision	2	MYTU002.0321.00122.C001.PICI.TypeB.variant0003.Set2
lysis	0	MYTU002.0321.00122.C001.PICI.TypeB.variant0003.Set2
moron, auxiliary metabolic gene and host takeover	0	MYTU002.0321.00122.C001.PICI.TypeB.variant0003.Set2
other	0	MYTU002.0321.00122.C001.PICI.TypeB.variant0003.Set2
tail	0	MYTU002.0321.00122.C001.PICI.TypeB.variant0003.Set2
transcription regulation	0	MYTU002.0321.00122.C001.PICI.TypeB.variant0003.Set2
unknown function	8	MYTU002.0321.00122.C001.PICI.TypeB.variant0003.Set2
tRNAs	0	MYTU002.0321.00122.C001.PICI.TypeB.variant0003.Set2
CRISPRs	0	MYTU002.0321.00122.C001.PICI.TypeB.variant0003.Set2
tmRNAs	0	MYTU002.0321.00122.C001.PICI.TypeB.variant0003.Set2
VFDB_Virulence_Factors	0	MYTU002.0321.00122.C001.PICI.TypeB.variant0003.Set2
CARD_AMR_Genes	0	MYTU002.0321.00122.C001.PICI.TypeB.variant0003.Set2
CDS	13	MYTU002.0321.00094.C001.PICI.TypeB.variant0003.Set1
connector	0	MYTU002.0321.00094.C001.PICI.TypeB.variant0003.Set1
DNA, RNA and nucleotide metabolism	0	MYTU002.0321.00094.C001.PICI.TypeB.variant0003.Set1
head and packaging	3	MYTU002.0321.00094.C001.PICI.TypeB.variant0003.Set1
integration and excision	2	MYTU002.0321.00094.C001.PICI.TypeB.variant0003.Set1
lysis	0	MYTU002.0321.00094.C001.PICI.TypeB.variant0003.Set1
moron, auxiliary metabolic gene and host takeover	0	MYTU002.0321.00094.C001.PICI.TypeB.variant0003.Set1
other	0	MYTU002.0321.00094.C001.PICI.TypeB.variant0003.Set1
tail	0	MYTU002.0321.00094.C001.PICI.TypeB.variant0003.Set1
transcription regulation	0	MYTU002.0321.00094.C001.PICI.TypeB.variant0003.Set1
unknown function	8	MYTU002.0321.00094.C001.PICI.TypeB.variant0003.Set1
tRNAs	0	MYTU002.0321.00094.C001.PICI.TypeB.variant0003.Set1
CRISPRs	0	MYTU002.0321.00094.C001.PICI.TypeB.variant0003.Set1
tmRNAs	0	MYTU002.0321.00094.C001.PICI.TypeB.variant0003.Set1
VFDB_Virulence_Factors	0	MYTU002.0321.00094.C001.PICI.TypeB.variant0003.Set1
CARD_AMR_Genes	0	MYTU002.0321.00094.C001.PICI.TypeB.variant0003.Set1
CDS	25	STAU002.0321.00316.C001.PICI.TypeB.variant0002.Set1
connector	0	STAU002.0321.00316.C001.PICI.TypeB.variant0002.Set1
DNA, RNA and nucleotide metabolism	3	STAU002.0321.00316.C001.PICI.TypeB.variant0002.Set1
head and packaging	2	STAU002.0321.00316.C001.PICI.TypeB.variant0002.Set1
integration and excision	1	STAU002.0321.00316.C001.PICI.TypeB.variant0002.Set1
lysis	0	STAU002.0321.00316.C001.PICI.TypeB.variant0002.Set1
moron, auxiliary metabolic gene and host takeover	2	STAU002.0321.00316.C001.PICI.TypeB.variant0002.Set1
other	1	STAU002.0321.00316.C001.PICI.TypeB.variant0002.Set1
tail	0	STAU002.0321.00316.C001.PICI.TypeB.variant0002.Set1
transcription regulation	2	STAU002.0321.00316.C001.PICI.TypeB.variant0002.Set1
unknown function	14	STAU002.0321.00316.C001.PICI.TypeB.variant0002.Set1
tRNAs	0	STAU002.0321.00316.C001.PICI.TypeB.variant0002.Set1
CRISPRs	0	STAU002.0321.00316.C001.PICI.TypeB.variant0002.Set1
tmRNAs	0	STAU002.0321.00316.C001.PICI.TypeB.variant0002.Set1
VFDB_Virulence_Factors	0	STAU002.0321.00316.C001.PICI.TypeB.variant0002.Set1
CARD_AMR_Genes	0	STAU002.0321.00316.C001.PICI.TypeB.variant0002.Set1
CDS	20	BIAN002.0321.00001.C001.PICI.TypeB.variant0001.Set1
connector	0	BIAN002.0321.00001.C001.PICI.TypeB.variant0001.Set1
DNA, RNA and nucleotide metabolism	2	BIAN002.0321.00001.C001.PICI.TypeB.variant0001.Set1
head and packaging	1	BIAN002.0321.00001.C001.PICI.TypeB.variant0001.Set1
integration and excision	2	BIAN002.0321.00001.C001.PICI.TypeB.variant0001.Set1
lysis	0	BIAN002.0321.00001.C001.PICI.TypeB.variant0001.Set1
moron, auxiliary metabolic gene and host takeover	0	BIAN002.0321.00001.C001.PICI.TypeB.variant0001.Set1
other	0	BIAN002.0321.00001.C001.PICI.TypeB.variant0001.Set1
tail	0	BIAN002.0321.00001.C001.PICI.TypeB.variant0001.Set1
transcription regulation	0	BIAN002.0321.00001.C001.PICI.TypeB.variant0001.Set1
unknown function	15	BIAN002.0321.00001.C001.PICI.TypeB.variant0001.Set1
tRNAs	0	BIAN002.0321.00001.C001.PICI.TypeB.variant0001.Set1
CRISPRs	0	BIAN002.0321.00001.C001.PICI.TypeB.variant0001.Set1
tmRNAs	0	BIAN002.0321.00001.C001.PICI.TypeB.variant0001.Set1
VFDB_Virulence_Factors	0	BIAN002.0321.00001.C001.PICI.TypeB.variant0001.Set1
CARD_AMR_Genes	0	BIAN002.0321.00001.C001.PICI.TypeB.variant0001.Set1
CDS	18	STAU002.0321.00498.C001.PICI.TypeB.variant0002.Set2
connector	0	STAU002.0321.00498.C001.PICI.TypeB.variant0002.Set2
DNA, RNA and nucleotide metabolism	3	STAU002.0321.00498.C001.PICI.TypeB.variant0002.Set2
head and packaging	2	STAU002.0321.00498.C001.PICI.TypeB.variant0002.Set2
integration and excision	1	STAU002.0321.00498.C001.PICI.TypeB.variant0002.Set2
lysis	0	STAU002.0321.00498.C001.PICI.TypeB.variant0002.Set2
moron, auxiliary metabolic gene and host takeover	0	STAU002.0321.00498.C001.PICI.TypeB.variant0002.Set2
other	0	STAU002.0321.00498.C001.PICI.TypeB.variant0002.Set2
tail	0	STAU002.0321.00498.C001.PICI.TypeB.variant0002.Set2
transcription regulation	2	STAU002.0321.00498.C001.PICI.TypeB.variant0002.Set2
unknown function	10	STAU002.0321.00498.C001.PICI.TypeB.variant0002.Set2
tRNAs	0	STAU002.0321.00498.C001.PICI.TypeB.variant0002.Set2
CRISPRs	0	STAU002.0321.00498.C001.PICI.TypeB.variant0002.Set2
tmRNAs	0	STAU002.0321.00498.C001.PICI.TypeB.variant0002.Set2
VFDB_Virulence_Factors	0	STAU002.0321.00498.C001.PICI.TypeB.variant0002.Set2
CARD_AMR_Genes	0	STAU002.0321.00498.C001.PICI.TypeB.variant0002.Set2
CDS	12	MYTU002.0321.00128.C001.PICI.TypeB.variant0003.Set1
connector	0	MYTU002.0321.00128.C001.PICI.TypeB.variant0003.Set1
DNA, RNA and nucleotide metabolism	0	MYTU002.0321.00128.C001.PICI.TypeB.variant0003.Set1
head and packaging	3	MYTU002.0321.00128.C001.PICI.TypeB.variant0003.Set1
integration and excision	2	MYTU002.0321.00128.C001.PICI.TypeB.variant0003.Set1
lysis	0	MYTU002.0321.00128.C001.PICI.TypeB.variant0003.Set1
moron, auxiliary metabolic gene and host takeover	0	MYTU002.0321.00128.C001.PICI.TypeB.variant0003.Set1
other	0	MYTU002.0321.00128.C001.PICI.TypeB.variant0003.Set1
tail	0	MYTU002.0321.00128.C001.PICI.TypeB.variant0003.Set1
transcription regulation	0	MYTU002.0321.00128.C001.PICI.TypeB.variant0003.Set1
unknown function	7	MYTU002.0321.00128.C001.PICI.TypeB.variant0003.Set1
tRNAs	0	MYTU002.0321.00128.C001.PICI.TypeB.variant0003.Set1
CRISPRs	0	MYTU002.0321.00128.C001.PICI.TypeB.variant0003.Set1
tmRNAs	0	MYTU002.0321.00128.C001.PICI.TypeB.variant0003.Set1
VFDB_Virulence_Factors	0	MYTU002.0321.00128.C001.PICI.TypeB.variant0003.Set1
CARD_AMR_Genes	0	MYTU002.0321.00128.C001.PICI.TypeB.variant0003.Set1
CDS	23	ESCO001.0321.01492.C001.PICI.TypeA.Set1
connector	0	ESCO001.0321.01492.C001.PICI.TypeA.Set1
DNA, RNA and nucleotide metabolism	1	ESCO001.0321.01492.C001.PICI.TypeA.Set1
head and packaging	3	ESCO001.0321.01492.C001.PICI.TypeA.Set1
integration and excision	2	ESCO001.0321.01492.C001.PICI.TypeA.Set1
lysis	0	ESCO001.0321.01492.C001.PICI.TypeA.Set1
moron, auxiliary metabolic gene and host takeover	0	ESCO001.0321.01492.C001.PICI.TypeA.Set1
other	0	ESCO001.0321.01492.C001.PICI.TypeA.Set1
tail	0	ESCO001.0321.01492.C001.PICI.TypeA.Set1
transcription regulation	1	ESCO001.0321.01492.C001.PICI.TypeA.Set1
unknown function	16	ESCO001.0321.01492.C001.PICI.TypeA.Set1
tRNAs	0	ESCO001.0321.01492.C001.PICI.TypeA.Set1
CRISPRs	0	ESCO001.0321.01492.C001.PICI.TypeA.Set1
tmRNAs	0	ESCO001.0321.01492.C001.PICI.TypeA.Set1
VFDB_Virulence_Factors	0	ESCO001.0321.01492.C001.PICI.TypeA.Set1
CARD_AMR_Genes	0	ESCO001.0321.01492.C001.PICI.TypeA.Set1
CDS	21	STAU002.0321.00207.C001.PICI.TypeB.variant0002.Set1
connector	0	STAU002.0321.00207.C001.PICI.TypeB.variant0002.Set1
DNA, RNA and nucleotide metabolism	3	STAU002.0321.00207.C001.PICI.TypeB.variant0002.Set1
head and packaging	2	STAU002.0321.00207.C001.PICI.TypeB.variant0002.Set1
integration and excision	1	STAU002.0321.00207.C001.PICI.TypeB.variant0002.Set1
lysis	0	STAU002.0321.00207.C001.PICI.TypeB.variant0002.Set1
moron, auxiliary metabolic gene and host takeover	0	STAU002.0321.00207.C001.PICI.TypeB.variant0002.Set1
other	0	STAU002.0321.00207.C001.PICI.TypeB.variant0002.Set1
tail	0	STAU002.0321.00207.C001.PICI.TypeB.variant0002.Set1
transcription regulation	2	STAU002.0321.00207.C001.PICI.TypeB.variant0002.Set1
unknown function	13	STAU002.0321.00207.C001.PICI.TypeB.variant0002.Set1
tRNAs	0	STAU002.0321.00207.C001.PICI.TypeB.variant0002.Set1
CRISPRs	0	STAU002.0321.00207.C001.PICI.TypeB.variant0002.Set1
tmRNAs	0	STAU002.0321.00207.C001.PICI.TypeB.variant0002.Set1
VFDB_Virulence_Factors	0	STAU002.0321.00207.C001.PICI.TypeB.variant0002.Set1
CARD_AMR_Genes	0	STAU002.0321.00207.C001.PICI.TypeB.variant0002.Set1
CDS	23	STAU002.0321.00512.C001.PICI.TypeB.variant0002.Set1
connector	0	STAU002.0321.00512.C001.PICI.TypeB.variant0002.Set1
DNA, RNA and nucleotide metabolism	3	STAU002.0321.00512.C001.PICI.TypeB.variant0002.Set1
head and packaging	2	STAU002.0321.00512.C001.PICI.TypeB.variant0002.Set1
integration and excision	1	STAU002.0321.00512.C001.PICI.TypeB.variant0002.Set1
lysis	0	STAU002.0321.00512.C001.PICI.TypeB.variant0002.Set1
moron, auxiliary metabolic gene and host takeover	2	STAU002.0321.00512.C001.PICI.TypeB.variant0002.Set1
other	0	STAU002.0321.00512.C001.PICI.TypeB.variant0002.Set1
tail	0	STAU002.0321.00512.C001.PICI.TypeB.variant0002.Set1
transcription regulation	2	STAU002.0321.00512.C001.PICI.TypeB.variant0002.Set1
unknown function	13	STAU002.0321.00512.C001.PICI.TypeB.variant0002.Set1
tRNAs	0	STAU002.0321.00512.C001.PICI.TypeB.variant0002.Set1
CRISPRs	0	STAU002.0321.00512.C001.PICI.TypeB.variant0002.Set1
tmRNAs	0	STAU002.0321.00512.C001.PICI.TypeB.variant0002.Set1
VFDB_Virulence_Factors	0	STAU002.0321.00512.C001.PICI.TypeB.variant0002.Set1
CARD_AMR_Genes	0	STAU002.0321.00512.C001.PICI.TypeB.variant0002.Set1
CDS	20	STAR002.0321.00002.C001.PICI.TypeB.variant0002.Set1
connector	0	STAR002.0321.00002.C001.PICI.TypeB.variant0002.Set1
DNA, RNA and nucleotide metabolism	3	STAR002.0321.00002.C001.PICI.TypeB.variant0002.Set1
head and packaging	2	STAR002.0321.00002.C001.PICI.TypeB.variant0002.Set1
integration and excision	1	STAR002.0321.00002.C001.PICI.TypeB.variant0002.Set1
lysis	0	STAR002.0321.00002.C001.PICI.TypeB.variant0002.Set1
moron, auxiliary metabolic gene and host takeover	0	STAR002.0321.00002.C001.PICI.TypeB.variant0002.Set1
other	0	STAR002.0321.00002.C001.PICI.TypeB.variant0002.Set1
tail	0	STAR002.0321.00002.C001.PICI.TypeB.variant0002.Set1
transcription regulation	2	STAR002.0321.00002.C001.PICI.TypeB.variant0002.Set1
unknown function	12	STAR002.0321.00002.C001.PICI.TypeB.variant0002.Set1
tRNAs	0	STAR002.0321.00002.C001.PICI.TypeB.variant0002.Set1
CRISPRs	0	STAR002.0321.00002.C001.PICI.TypeB.variant0002.Set1
tmRNAs	0	STAR002.0321.00002.C001.PICI.TypeB.variant0002.Set1
VFDB_Virulence_Factors	0	STAR002.0321.00002.C001.PICI.TypeB.variant0002.Set1
CARD_AMR_Genes	0	STAR002.0321.00002.C001.PICI.TypeB.variant0002.Set1
CDS	21	STHA002.0321.00009.C001.PICI.TypeB.variant0002.Set1
connector	0	STHA002.0321.00009.C001.PICI.TypeB.variant0002.Set1
DNA, RNA and nucleotide metabolism	2	STHA002.0321.00009.C001.PICI.TypeB.variant0002.Set1
head and packaging	2	STHA002.0321.00009.C001.PICI.TypeB.variant0002.Set1
integration and excision	1	STHA002.0321.00009.C001.PICI.TypeB.variant0002.Set1
lysis	0	STHA002.0321.00009.C001.PICI.TypeB.variant0002.Set1
moron, auxiliary metabolic gene and host takeover	0	STHA002.0321.00009.C001.PICI.TypeB.variant0002.Set1
other	0	STHA002.0321.00009.C001.PICI.TypeB.variant0002.Set1
tail	0	STHA002.0321.00009.C001.PICI.TypeB.variant0002.Set1
transcription regulation	2	STHA002.0321.00009.C001.PICI.TypeB.variant0002.Set1
unknown function	14	STHA002.0321.00009.C001.PICI.TypeB.variant0002.Set1
tRNAs	0	STHA002.0321.00009.C001.PICI.TypeB.variant0002.Set1
CRISPRs	0	STHA002.0321.00009.C001.PICI.TypeB.variant0002.Set1
tmRNAs	0	STHA002.0321.00009.C001.PICI.TypeB.variant0002.Set1
VFDB_Virulence_Factors	0	STHA002.0321.00009.C001.PICI.TypeB.variant0002.Set1
CARD_AMR_Genes	0	STHA002.0321.00009.C001.PICI.TypeB.variant0002.Set1
CDS	14	ESCO001.0321.00482.C001.PICI.TypeB.variant0002.Set2
connector	0	ESCO001.0321.00482.C001.PICI.TypeB.variant0002.Set2
DNA, RNA and nucleotide metabolism	2	ESCO001.0321.00482.C001.PICI.TypeB.variant0002.Set2
head and packaging	1	ESCO001.0321.00482.C001.PICI.TypeB.variant0002.Set2
integration and excision	2	ESCO001.0321.00482.C001.PICI.TypeB.variant0002.Set2
lysis	0	ESCO001.0321.00482.C001.PICI.TypeB.variant0002.Set2
moron, auxiliary metabolic gene and host takeover	0	ESCO001.0321.00482.C001.PICI.TypeB.variant0002.Set2
other	0	ESCO001.0321.00482.C001.PICI.TypeB.variant0002.Set2
tail	0	ESCO001.0321.00482.C001.PICI.TypeB.variant0002.Set2
transcription regulation	0	ESCO001.0321.00482.C001.PICI.TypeB.variant0002.Set2
